0001|dummy|हाई गाईज अलो अलो अलो अलो अलो कैसे हैं आप सब लोग सब से पहले मुझे एक बात कन्फॉम कीजिये मेरी अवास आप तक पॉछ रही है।
0002|dummy|हा या ना जल्दी से चैट बॉक्स में मुझे करन्फॉम कर दिजिजे Everyone in the chat box क्या बात है क्या बात है क्या बात है।
0003|dummy|बहुःती बढ़िया बहुःती बढ़िया नहीं पर पारूँ आप सबके तेजी से जो है वो चैट जा रही है वे मेरे सामने क्या बात है ग्रेट।
0004|dummy|वीडियो ख्लियर, वोईस ख्लियर।
0005|dummy|चल्ये आप गई नाइस, आपने से किल्ड़ों जारे हूँगे अमारे भी विडियो आइस्ट कर वादो तो वो भी पहाइ देंगे आप से बाचित बी करेंगे बहुत कुछ को सीखने को जाओजी ले सके रहे है.
0006|dummy|एक बार हम बस एक मिन्ट के लिए और वेट कर रहे हैं ताकि सारे लोग वो एकत्रित हो जाएं और हम लोग अपना आज का कारेग्रम शुरू कर पाएं।
0007|dummy|क्या बात है क्या बात है दिवाज वीडियो थीक हो जाएगे अभी चलिये इतने आप सब लोग मुझे जल्दी जल्दी से बता दीजे के आप लोगो का नामचा रहे है।
0008|dummy|ते लिए अपके बढ़ाना शुरू कीजये के आप लो कोण से सिटी से जो हैं यहाँ पे मेरे पास आय हूए हैं। मैं एक काम करता हू। मैं चैट ना आपके साथ शेर कर लेता हूं ताकि आप लोग देख पाएं कि...
0009|dummy|पूरी कुडी इंडिया जो है हमारे साथ यहाँपे बैठी होई हैं क्या भात है ? मुरादाबाद, राइपूर, इंदृर, गाजेबाद, चन्डिगढ़, गुज्राथ से, नौएड़ से, उदेपूर क्या बात है ? क्या बात है ? क्या बात है ?
0010|dummy|बाई गोआ वाले हैं कोई अच्छी जगा वाले गोआ वाले अंडमान वाले।
0011|dummy|तीके फ्री टिकट वाला हूँ ये कौन है फ्री टिकट वाला?
0012|dummy|अखे मुम्भाई बहुत बढ़िया हिसार।
0013|dummy|ग्रेट।
0014|dummy|ग्रेट बहुत बढ़े लिए खांट सीद चैट क्या बात कर रहे हू चैट विसिबल है कि नहीं आप लोगों को मुझे बताइए ये अपको अपको विसिबल है।
0015|dummy|यस बहुत बढ़िया बहुत ही बढ़िया बहुत ही बढ़िया आज़ेये आज़ेये प्लीज।
0016|dummy|अपने विजिबल नहीं है क्या ? सबको एकबार मुझे एकबार प्लीस कणफरम कर वाये हैं एकबार टीम कणफरम करेगे मेरी।
0017|dummy|अच्छा अस्क्रीन वेसिबल नहीं हैं, मैं एक बार दुबारा करने की कोशिश कर लेता हूं भाई ये लो एक बार दुबारा अस्क्रीन शेर करते हैं।
0018|dummy|शेर देस्टोप।
0019|dummy|आप देख़राए रहा है। आप देख़ाए रहा है।
0020|dummy|एक बोल रहा है। आप आप लोगों आप चैट दिकरे है न? अच्छा चैट विसीबल नहीं है।
0021|dummy|अपने द्रीगे से जल देंगे। आप तीके हैं।
0022|dummy|अब थीके।
0023|dummy|विसीबल है, कम आँ!
0024|dummy|ग्रेट।
0025|dummy|तो अपनी अपनी सिटी आप लोगों ने मुझे बता दी है।
